"CÓDIGO";"PRODUCTO";"CATEGORÍA";"Unidad de medida";"Cantidad x pres.";"Peso X presentación";"MINORISTA                   Precio x presentación";"MINORISTA         Precio Unitario";"MAYORISTA                   Precio x presentación";"MAYORISTA         Precio Unitario3";"DISTRIBUIDOR                   Precio x presentación";"DISTRIBUIDOR         Precio Unitario3";;
"HLEF25";"Harina integral ""LILEN"" PASTELERIA X25K";"H A R I N A S";"BOLSA";25;25,00;" $16.978,28 ";" $679,13 ";" $14.148,56 ";" $565,94 ";" $11.318,85 ";" $452,75 ";;
"HLMSEF";"Harina integral de trigo 0000 ""LOMA BRAVA"" 25k";"H A R I N A S";"BOLSA";25;25,00;" $34.196,40 ";" $1.367,86 ";" $28.497,00 ";" $1.139,88 ";" $22.797,60 ";" $911,90 ";;
"HLMC20";"Harina de centeno 0000 ""LOMA BRAVA"" 20K";"H A R I N A S";"BOLSA";20;20,00;" $38.104,56 ";" $1.905,23 ";" $31.753,80 ";" $1.587,69 ";" $25.403,04 ";" $1.270,15 ";;
"HLMMM5";"Harina de maiz MORADO x 5K ""LOMA BRAVA""";"H A R I N A S";"BOLSA";5;5,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"HLMSB1";"Harina de SORGO BLANCO x 1 kg""LOMA BRAVA"" ";"H A R I N A S";"UNIDAD";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"FITCC1";"Fideos Int. Pan. Tallarin ""CAMPO CLARO"" x 500 Grs.";"F I D E O S";"UNIDAD";1;0,50;" $2.018,90 ";" $2.018,90 ";" $1.682,42 ";" $1.682,42 ";" $1.345,94 ";" $1.345,94 ";;
"FITCC12";"Fideos Int. Pan. Tallarin ""CAMPO CLARO"" Caja 12 u. x 500 Grs.";"F I D E O S";"CAJA";12;6,00;" $23.257,79 ";" $1.938,15 ";" $19.381,49 ";" $1.615,12 ";" $15.505,19 ";" $1.292,10 ";;
"FEFCC1";"Fideos Espinaca Fettuccine ""CAMPO CLARO"" x 500 Grs.";"F I D E O S";"UNIDAD";1;0,50;" $2.080,89 ";" $2.080,89 ";" $1.734,07 ";" $1.734,07 ";" $1.387,26 ";" $1.387,26 ";;
"FEFCC12";"Fideos Espinaca Fettuccine Caja ""CAMPO CLARO"" 12 u. x 500 Grs.";"F I D E O S";"CAJA";12;6,00;" $23.971,83 ";" $1.997,65 ";" $19.976,53 ";" $1.664,71 ";" $15.981,22 ";" $1.331,77 ";;
"FIGCC1";"Fideos Integral  GARBANZO CODITOS ""CAMPO CLARO"" x 500 Grs.";"F I D E O S";"UNIDAD";1;0,50;" $2.080,89 ";" $2.080,89 ";" $1.734,07 ";" $1.734,07 ";" $1.387,26 ";" $1.387,26 ";;
"FIGCC12";"Fideos Integral GARBANZO CODITOS ""CAMPO CLARO"" x Caja x 12 u.";"F I D E O S";"CAJA";12;6,00;" $23.971,83 ";" $1.997,65 ";" $19.976,53 ";" $1.664,71 ";" $15.981,22 ";" $1.331,77 ";;
"DAR1";"Arándano rojo x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $16.117,66 ";" $16.117,66 ";" $13.431,38 ";" $13.431,38 ";" $10.745,10 ";" $10.745,10 ";;
"DAR11";"Arándano rojo x Caja de 11,34 Kg.";"D E S H I D R A T A D O S";"CAJA";11,34;11,34;" $179.595,54 ";" $15.837,35 ";" $149.662,95 ";" $13.197,79 ";" $119.730,36 ";" $10.558,23 ";;
"DAM1";"Azucar Mascabo x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $2.646,00 ";" $2.646,00 ";" $2.205,00 ";" $2.205,00 ";" $1.764,00 ";" $1.764,00 ";;
"DAMCC";"Azucar Mascabo x 100 Kg.";"D E S H I D R A T A D O S";"PALLET";100;100,00;" $226.800,00 ";" $2.268,00 ";" $189.000,00 ";" $1.890,00 ";" $151.200,00 ";" $1.512,00 ";;
"DAOS05";"Azucar Orgánico ""Schatzi"" x 500 Grs.";"D E S H I D R A T A D O S";"UNIDAD";1;0,50;" $5.198,42 ";" $5.198,42 ";" $4.332,02 ";" $4.332,02 ";" $3.465,61 ";" $3.465,61 ";;
"DAOS16";"Azucar Orgánico ""Schatzi"" x 500 Grs. CAJA x 16 u.";"D E S H I D R A T A D O S";"CAJA";16;8,00;" $75.165,34 ";" $4.697,83 ";" $62.637,78 ";" $3.914,86 ";" $50.110,23 ";" $3.131,89 ";;
"DAOSU3";"Azucar Orgánico ""Schatzi"" x 3 Kg.";"D E S H I D R A T A D O S";"BOLSA";3;3,00;" $21.312,83 ";" $7.104,28 ";" $17.760,69 ";" $5.920,23 ";" $14.208,55 ";" $4.736,18 ";;
"DAOSU25";"Azucar Orgánico ""Schatzi"" x 25 Kg.";"D E S H I D R A T A D O S";"BOLSÓN";25;25,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DAOSI25";"Azucar Orgánico ""SAN ISIDRO"" x 25 Kg.";"D E S H I D R A T A D O S";"BOLSÓN";25;25,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DBGO1";"Bayas de goyi x 1 kg.";"D E S H I D R A T A D O S";"UNIDAD";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DCB1";"Chip de bananita x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $9.558,00 ";" $9.558,00 ";" $7.965,00 ";" $7.965,00 ";" $6.372,00 ";" $6.372,00 ";;
"DCB68";"Chip de bananita x Caja de 6,80 Kg.";"D E S H I D R A T A D O S";"CAJA";6,8;6,80;" $62.240,40 ";" $9.153,00 ";" $51.867,00 ";" $7.627,50 ";" $41.493,60 ";" $6.102,00 ";;
"DCPG1";"Ciruela Presidente - grande x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $8.850,00 ";" $8.850,00 ";" $7.375,00 ";" $7.375,00 ";" $5.900,00 ";" $5.900,00 ";;
"DCPG5";"Ciruela Presidente - grande x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $42.375,00 ";" $8.475,00 ";" $35.312,50 ";" $7.062,50 ";" $28.250,00 ";" $5.650,00 ";;
"DCPM1";"Ciruela Presidente - mediana x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $7.080,00 ";" $7.080,00 ";" $5.900,00 ";" $5.900,00 ";" $4.720,00 ";" $4.720,00 ";;
"DCPM5";"Ciruela Presidente - mediana x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $33.900,00 ";" $6.780,00 ";" $28.250,00 ";" $5.650,00 ";" $22.600,00 ";" $4.520,00 ";;
"DCBSC1";"Ciruela bombón sin carozo x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $3.540,00 ";" $3.540,00 ";" $2.950,00 ";" $2.950,00 ";" $2.360,00 ";" $2.360,00 ";;
"DCBSC5";"Ciruela bombón sin carozo x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $16.950,00 ";" $3.390,00 ";" $14.125,00 ";" $2.825,00 ";" $11.300,00 ";" $2.260,00 ";;
"DCCC1";"Ciruela con carozo x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $3.451,50 ";" $3.451,50 ";" $2.876,25 ";" $2.876,25 ";" $2.301,00 ";" $2.301,00 ";;
"DCCC10";"Ciruela con carozo x Caja de 10 Kg.";"D E S H I D R A T A D O S";"CAJA";10;10,00;" $33.052,50 ";" $3.305,25 ";" $27.543,75 ";" $2.754,38 ";" $22.035,00 ";" $2.203,50 ";;
"DCHF1";"Coco rallado x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $7.200,00 ";" $7.200,00 ";" $6.000,00 ";" $6.000,00 ";" $4.800,00 ";" $4.800,00 ";;
"DCHF25";"Coco rallado x 25 Kg.";"D E S H I D R A T A D O S";"BOLSÓN";25;25,00;" $172.500,00 ";" $6.900,00 ";" $143.750,00 ";" $5.750,00 ";" $115.000,00 ";" $4.600,00 ";;
"DCEHF1";"Coco en escamas x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $12.090,00 ";" $12.090,00 ";" $10.075,00 ";" $10.075,00 ";" $8.060,00 ";" $8.060,00 ";;
"DCEHF10";"Coco en escamas x 10 Kg.";"D E S H I D R A T A D O S";"CAJA";10;10,00;" $111.600,00 ";" $11.160,00 ";" $93.000,00 ";" $9.300,00 ";" $74.400,00 ";" $7.440,00 ";;
"DDT1";"Damasco turco x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $15.186,60 ";" $15.186,60 ";" $12.655,50 ";" $12.655,50 ";" $10.124,40 ";" $10.124,40 ";;
"DDT5";"Damasco turco x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $72.715,50 ";" $14.543,10 ";" $60.596,25 ";" $12.119,25 ";" $48.477,00 ";" $9.695,40 ";;
"DDI1";"Datil EGIPTO x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DDI5";"Datil EGIPTO x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DDA1";"Datil Argelia x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $9.720,00 ";" $9.720,00 ";" $8.100,00 ";" $8.100,00 ";" $6.480,00 ";" $6.480,00 ";;
"DDA5";"Datil Argelia x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $46.575,00 ";" $9.315,00 ";" $38.812,50 ";" $7.762,50 ";" $31.050,00 ";" $6.210,00 ";;
"DDM1";"Datil Medjoul ISRAEL x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $20.625,00 ";" $20.625,00 ";" $17.187,50 ";" $17.187,50 ";" $13.750,00 ";" $13.750,00 ";;
"DDM5";"Datil Medjoul ISRAEL x 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $97.350,00 ";" $19.470,00 ";" $81.125,00 ";" $16.225,00 ";" $64.900,00 ";" $12.980,00 ";;
"DDMM1";"Datil Medjoul MEXICO x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DDMM5";"Datil Medjoul MEXICO x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DDUM1";"Durazno en mitades x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $11.682,00 ";" $11.682,00 ";" $9.735,00 ";" $9.735,00 ";" $7.788,00 ";" $7.788,00 ";;
"DDUM5";"Durazno en mitades x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $55.935,00 ";" $11.187,00 ";" $46.612,50 ";" $9.322,50 ";" $37.290,00 ";" $7.458,00 ";;
"DHN1";"Higo Negro x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $6.732,00 ";" $6.732,00 ";" $5.610,00 ";" $5.610,00 ";" $4.488,00 ";" $4.488,00 ";;
"DHN5";"Higo Negro x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $32.257,50 ";" $6.451,50 ";" $26.881,25 ";" $5.376,25 ";" $21.505,00 ";" $4.301,00 ";;
"DHTC1";"Higo Turco Suer x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DHTC5";"Higo Turco Suer Caja x 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DHTL1";"Higo turco Lerida x 1 kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DHTL25";"Higo turco Lerida CAJA X 2,5";"D E S H I D R A T A D O S";"CAJA";2,5;2,50;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DHC1";"Hongo chileno x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $21.960,00 ";" $21.960,00 ";" $18.300,00 ";" $18.300,00 ";" $14.640,00 ";" $14.640,00 ";;
"DHC15";"Hongo chileno x 15 kg";"D E S H I D R A T A D O S";"BOLSÓN";15;15,00;" $310.500,00 ";" $20.700,00 ";" $258.750,00 ";" $17.250,00 ";" $207.000,00 ";" $13.800,00 ";;
"DMFO1";"Maiz frito - ORIGINAL x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $11.531,25 ";" $11.531,25 ";" $9.609,38 ";" $9.609,38 ";" $7.687,50 ";" $7.687,50 ";;
"DMFO5";"Maiz frito - ORIGINAL x 5 Kg.";"D E S H I D R A T A D O S";"KG";5;5,00;" $55.312,50 ";" $11.062,50 ";" $46.093,75 ";" $9.218,75 ";" $36.875,00 ";" $7.375,00 ";;
"DMFB1";"Maiz frito - BARBACOA x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DMFB5";"Maiz frito - BARBACOA x 5 Kg.";"D E S H I D R A T A D O S";"KG";5;5,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DMFMM1";"Maiz frito - MOSTAZA Y MIEL x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DMFMM5";"Maiz frito - MOSTAZA Y MIEL x 5 Kg.";"D E S H I D R A T A D O S";"KG";5;5,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DPJ1";"Pasas Jumbo x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $4.336,50 ";" $4.336,50 ";" $3.613,75 ";" $3.613,75 ";" $2.891,00 ";" $2.891,00 ";;
"DPJ10";"Pasas Jumbo Caja x 10 Kg.";"D E S H I D R A T A D O S";"CAJA";10;10,00;" $41.527,50 ";" $4.152,75 ";" $34.606,25 ";" $3.460,63 ";" $27.685,00 ";" $2.768,50 ";;
"DPF1";"Pasas Flame x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $3.168,30 ";" $3.168,30 ";" $2.640,25 ";" $2.640,25 ";" $2.112,20 ";" $2.112,20 ";;
"DPF10";"Pasas Flame Caja x 10 Kg.";"D E S H I D R A T A D O S";"CAJA";10;10,00;" $30.340,50 ";" $3.034,05 ";" $25.283,75 ";" $2.528,38 ";" $20.227,00 ";" $2.022,70 ";;
"DPR1";"Pasas rubias sin semillas x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $8.938,50 ";" $8.938,50 ";" $7.448,75 ";" $7.448,75 ";" $5.959,00 ";" $5.959,00 ";;
"DPR10";"Pasas rubias sin semillas x 10 Kg.";"D E S H I D R A T A D O S";"CAJA";10;10,00;" $85.597,50 ";" $8.559,75 ";" $71.331,25 ";" $7.133,13 ";" $57.065,00 ";" $5.706,50 ";;
"DPRE1";"Pasas rubias economicas x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DPRE10";"Pasas rubias economicas x 10 Kg.";"D E S H I D R A T A D O S";"CAJA";10;10,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"DPD1";"Pera disecada x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $10.764,00 ";" $10.764,00 ";" $8.970,00 ";" $8.970,00 ";" $7.176,00 ";" $7.176,00 ";;
"DPD5";"Pera disecada x Caja de 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $51.577,50 ";" $10.315,50 ";" $42.981,25 ";" $8.596,25 ";" $34.385,00 ";" $6.877,00 ";;
"DTD1";"Tomate deshidratado x 1 Kg.";"D E S H I D R A T A D O S";"KG";1;1,00;" $14.868,00 ";" $14.868,00 ";" $12.390,00 ";" $12.390,00 ";" $9.912,00 ";" $9.912,00 ";;
"DTD5";"Tomate deshidratado x 5 Kg.";"D E S H I D R A T A D O S";"CAJA";5;5,00;" $71.190,00 ";" $14.238,00 ";" $59.325,00 ";" $11.865,00 ";" $47.460,00 ";" $9.492,00 ";;
"FSAN1";"Almendra nompareil x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $18.112,50 ";" $18.112,50 ";" $15.093,75 ";" $15.093,75 ";" $12.075,00 ";" $12.075,00 ";;
"FSAN10";"Almendra nompareil x 10 Kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $176.400,00 ";" $17.640,00 ";" $147.000,00 ";" $14.700,00 ";" $117.600,00 ";" $11.760,00 ";;
"FSAR1";"Almendra ramillada x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $14.040,00 ";" $14.040,00 ";" $11.700,00 ";" $11.700,00 ";" $9.360,00 ";" $9.360,00 ";;
"FSAR10";"Almendra ramillada x 10 Kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $135.600,00 ";" $13.560,00 ";" $113.000,00 ";" $11.300,00 ";" $90.400,00 ";" $9.040,00 ";;
"FSAE1";"Almendra económica x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $14.566,50 ";" $14.566,50 ";" $12.138,75 ";" $12.138,75 ";" $9.711,00 ";" $9.711,00 ";;
"FSAE10";"Almendra económica x 10 Kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $140.685,00 ";" $14.068,50 ";" $117.237,50 ";" $11.723,75 ";" $93.790,00 ";" $9.379,00 ";;
"FSAM1";"Avellana - Mediana x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"FSAM10";"Avellana - Mediana x 10 Kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"FSAG1";"Avellana - Grande x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $23.787,75 ";" $23.787,75 ";" $19.823,13 ";" $19.823,13 ";" $15.858,50 ";" $15.858,50 ";;
"FSAG10";"Avellana - Grande x 10 Kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $231.672,00 ";" $23.167,20 ";" $193.060,00 ";" $19.306,00 ";" $154.448,00 ";" $15.444,80 ";;
"FSCNV1";"Castaña de caju VIETNAM - NATURAL x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $12.937,50 ";" $12.937,50 ";" $10.781,25 ";" $10.781,25 ";" $8.625,00 ";" $8.625,00 ";;
"FSCNV22";"Castaña de caju VIETNAM- NATURAL x Caja x 20 Kg.";"F R U T O S  S E C O S";"CAJA";20;20,00;" $252.000,00 ";" $12.600,00 ";" $210.000,00 ";" $10.500,00 ";" $168.000,00 ";" $8.400,00 ";;
"FSCN1";"Castaña de caju - NATURAL x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $15.007,50 ";" $15.007,50 ";" $12.506,25 ";" $12.506,25 ";" $10.005,00 ";" $10.005,00 ";;
"FSCN22";"Castaña de caju - NATURAL x Caja de 22,68 Kg.";"F R U T O S  S E C O S";"CAJA";22,68;22,68;" $331.490,88 ";" $14.616,00 ";" $276.242,40 ";" $12.180,00 ";" $220.993,92 ";" $9.744,00 ";;
"FSCT1";"Castaña de caju -TOSTADA x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $15.870,00 ";" $15.870,00 ";" $13.225,00 ";" $13.225,00 ";" $10.580,00 ";" $10.580,00 ";;
"FSCT22";"Castaña de caju -TOSTADA x Caja de 22,68 Kg.";"F R U T O S  S E C O S";"CAJA";22,68;22,68;" $350.542,08 ";" $15.456,00 ";" $292.118,40 ";" $12.880,00 ";" $233.694,72 ";" $10.304,00 ";;
"FSCTS1";"Castaña de caju -SALADA x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $16.042,50 ";" $16.042,50 ";" $13.368,75 ";" $13.368,75 ";" $10.695,00 ";" $10.695,00 ";;
"FSTS22";"Castaña de caju -SALADA x Caja de 22,68 Kg.";"F R U T O S  S E C O S";"CAJA";22,68;22,68;" $354.352,32 ";" $15.624,00 ";" $295.293,60 ";" $13.020,00 ";" $236.234,88 ";" $10.416,00 ";;
"FSCPP1";"Castaña de pará entera x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $20.178,00 ";" $20.178,00 ";" $16.815,00 ";" $16.815,00 ";" $13.452,00 ";" $13.452,00 ";;
"FSCPP20";"Castaña de pará entera x 20 Kg.";"F R U T O S  S E C O S";"CAJA";20;20,00;" $386.460,00 ";" $19.323,00 ";" $322.050,00 ";" $16.102,50 ";" $257.640,00 ";" $12.882,00 ";;
"FSMC1";"Mani con cáscara x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $4.218,75 ";" $4.218,75 ";" $3.515,63 ";" $3.515,63 ";" $2.812,50 ";" $2.812,50 ";;
"FSMC5";"Mani con cáscara x 5 Kg.";"F R U T O S  S E C O S";"BOLSÓN";5;5,00;" $19.743,75 ";" $3.948,75 ";" $16.453,13 ";" $3.290,63 ";" $13.162,50 ";" $2.632,50 ";;
"FSMTS1";"Mani tostado - SALADO x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $3.870,00 ";" $3.870,00 ";" $3.225,00 ";" $3.225,00 ";" $2.580,00 ";" $2.580,00 ";;
"FSMTS25";"Mani tostado - SALADO x 25 Kg.";"F R U T O S  S E C O S";"BOLSÓN";25;25,00;" $92.718,75 ";" $3.708,75 ";" $77.265,63 ";" $3.090,63 ";" $61.812,50 ";" $2.472,50 ";;
"FSMT1";"Mani tostado - SIN SAL x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $3.870,00 ";" $3.870,00 ";" $3.225,00 ";" $3.225,00 ";" $2.580,00 ";" $2.580,00 ";;
"FSMT25";"Mani tostado - SIN SAL x 25 Kg.";"F R U T O S  S E C O S";"BOLSÓN";25;25,00;" $92.718,75 ";" $3.708,75 ";" $77.265,63 ";" $3.090,63 ";" $61.812,50 ";" $2.472,50 ";;
"FSNC1";"Nuez con cáscara x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $5.400,00 ";" $5.400,00 ";" $4.500,00 ";" $4.500,00 ";" $3.600,00 ";" $3.600,00 ";;
"FSNC10";"Nuez con cáscara x 10 Kg.";"F R U T O S  S E C O S";"BOLSÓN";10;10,00;" $51.750,00 ";" $5.175,00 ";" $43.125,00 ";" $4.312,50 ";" $34.500,00 ";" $3.450,00 ";;
"FSNE1";"Nuez mariposa extra light x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $10.620,00 ";" $10.620,00 ";" $8.850,00 ";" $8.850,00 ";" $7.080,00 ";" $7.080,00 ";;
"FSNE10";"Nuez mariposa extra light x 10 Kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $101.700,00 ";" $10.170,00 ";" $84.750,00 ";" $8.475,00 ";" $67.800,00 ";" $6.780,00 ";;
"FSNL1";"Nuez mariposa light x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $10.266,00 ";" $10.266,00 ";" $8.555,00 ";" $8.555,00 ";" $6.844,00 ";" $6.844,00 ";;
"FSNL10";"Nuez mariposa light x 10 Kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $98.310,00 ";" $9.831,00 ";" $81.925,00 ";" $8.192,50 ";" $65.540,00 ";" $6.554,00 ";;
"FSNEC1";"Nuez cuartos extra light x 1 Kg";"F R U T O S  S E C O S";"KG";1;1,00;" $10.266,00 ";" $10.266,00 ";" $8.555,00 ";" $8.555,00 ";" $6.844,00 ";" $6.844,00 ";;
"FSNEC10";"Nuez cuartos extra ligth x 10 Kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $98.310,00 ";" $9.831,00 ";" $81.925,00 ";" $8.192,50 ";" $65.540,00 ";" $6.554,00 ";;
"FSNP1";"Nuez pecan x 1 kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"FSNP10";"Nuez pecan x 10 kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"FSPTS1";"Pistacho tostado y salado x 1 Kg.";"F R U T O S  S E C O S";"KG";1;1,00;" $24.043,50 ";" $24.043,50 ";" $20.036,25 ";" $20.036,25 ";" $16.029,00 ";" $16.029,00 ";;
"FSPTS10";"Pistacho tostado y salado x Caja de 10 Kg.";"F R U T O S  S E C O S";"CAJA";10;10,00;" $230.160,00 ";" $23.016,00 ";" $191.800,00 ";" $19.180,00 ";" $153.440,00 ";" $15.344,00 ";;
"MMC1";"Mix clásico x 1 Kg. (pasa rubias y negras, caju, nuez, almendra)";"M I X E S";"KG";1;1,00;" $9.518,55 ";" $9.518,55 ";" $7.932,13 ";" $7.932,13 ";" $6.345,70 ";" $6.345,70 ";;
"MMC10";"Mix clásico x 10 kg.(pasa rubias y negras, caju, nuez, almendra)";"M I X E S";"PACK";10;10,00;" $91.874,70 ";" $9.187,47 ";" $76.562,25 ";" $7.656,23 ";" $61.249,80 ";" $6.124,98 ";;
"MMCM1";"Mix clásico (c/ mani) x 1 Kg.(pasa rubias y negras, caju, nuez, almendra,mani)";"M I X E S";"KG";1;1,00;" $8.550,25 ";" $8.550,25 ";" $7.125,21 ";" $7.125,21 ";" $5.700,17 ";" $5.700,17 ";;
"MMCM12";"Mix clásico (c/ mani) x 12 kg.(pasa rubias y negras, caju, nuez, almendra,mani)";"M I X E S";"PACK";12;12,00;" $99.034,20 ";" $8.252,85 ";" $82.528,50 ";" $6.877,38 ";" $66.022,80 ";" $5.501,90 ";;
"MMS1";"Mix seco x 1 Kg.(avellanas, nuez, caju, almendra)";"M I X E S";"KG";1;1,00;" $14.038,91 ";" $14.038,91 ";" $11.699,09 ";" $11.699,09 ";" $9.359,28 ";" $9.359,28 ";;
"MMS10";"Mix seco x 10 kg.(avellanas, nuez, caju,almendra)";"M I X E S";"PACK";10;10,00;" $135.506,03 ";" $13.550,60 ";" $112.921,69 ";" $11.292,17 ";" $90.337,35 ";" $9.033,74 ";;
"MMSM1";"Mix seco (c/ mani) x 1 Kg.(avellanas, nuez, caju,almendra,mani)";"M I X E S";"KG";1;1,00;" $12.317,22 ";" $12.317,22 ";" $10.264,35 ";" $10.264,35 ";" $8.211,48 ";" $8.211,48 ";;
"MMSM12";"Mix seco (c/ mani) x 12kg.(avellanas, nuez, caju, almendra,mani)";"M I X E S";"PACK";12;12,00;" $142.665,53 ";" $11.888,79 ";" $118.887,94 ";" $9.907,33 ";" $95.110,35 ";" $7.925,86 ";;
"MMT1";"Mix tropical x 1 Kg.(pasa rubias y negras, caju, nuez, almendra, bananita)";"M I X E S";"KG";1;1,00;" $8.090,25 ";" $8.090,25 ";" $6.741,88 ";" $6.741,88 ";" $5.393,50 ";" $5.393,50 ";;
"MMT12";"Mix tropical x 12kg.(pasa rubias y negras, caju, nuez, almendra, bananita)";"M I X E S";"PACK";12;12,00;" $93.706,20 ";" $7.808,85 ";" $78.088,50 ";" $6.507,38 ";" $62.470,80 ";" $5.205,90 ";;
