"CÓDIGO";"PRODUCTO";"CATEGORÍA";"Unidad de medida";"Cantidad x pres.";"Peso X presentación";"MINORISTA                   Precio x presentación";"MINORISTA         Precio Unitario";"MAYORISTA                   Precio x presentación";"MAYORISTA         Precio Unitario3";"DISTRIBUIDOR                   Precio x presentación";"DISTRIBUIDOR         Precio Unitario3";;
"SLTPC25";"Poroto Colorado x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $97.353,00 ";" $3.894,12 ";" $81.127,50 ";" $3.245,10 ";" $64.902,00 ";" $2.596,08 ";;
"SLTPS1";"Poroto de Soja x 1 kg ";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $2.295,15 ";" $2.295,15 ";" $1.912,63 ";" $1.912,63 ";" $1.530,10 ";" $1.530,10 ";;
"SLTPS25";"Poroto de Soja x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $51.199,50 ";" $2.047,98 ";" $42.666,25 ";" $1.706,65 ";" $34.133,00 ";" $1.365,32 ";;
"SLTPM1";"Poroto Mung x 1 kg ";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $3.198,00 ";" $3.198,00 ";" $2.665,00 ";" $2.665,00 ";" $2.132,00 ";" $2.132,00 ";;
"SLTPM25";"Poroto Mung x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $71.340,00 ";" $2.853,60 ";" $59.450,00 ";" $2.378,00 ";" $47.560,00 ";" $1.902,40 ";;
"SLTPN1";"Poroto Negro x 1 kg ";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $3.847,35 ";" $3.847,35 ";" $3.206,13 ";" $3.206,13 ";" $2.564,90 ";" $2.564,90 ";;
"SLTPN25";"Poroto Negro x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $85.825,50 ";" $3.433,02 ";" $71.521,25 ";" $2.860,85 ";" $57.217,00 ";" $2.288,68 ";;
"SLTSC1";"Semilla de Chia x 1 kg ";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $8.385,00 ";" $8.385,00 ";" $6.987,50 ";" $6.987,50 ";" $5.590,00 ";" $5.590,00 ";;
"SLTSC25";"Semilla de Chia x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $187.050,00 ";" $7.482,00 ";" $155.875,00 ";" $6.235,00 ";" $124.700,00 ";" $4.988,00 ";;
"SLTSG1";"Semilla de Girasol x 1 kg ";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $4.933,50 ";" $4.933,50 ";" $4.111,25 ";" $4.111,25 ";" $3.289,00 ";" $3.289,00 ";;
"SLTSG20";"Semilla de Girasol x 20 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";20;20,00;" $88.044,00 ";" $4.402,20 ";" $73.370,00 ";" $3.668,50 ";" $58.696,00 ";" $2.934,80 ";;
"SLTS1";"Sésamo x 1 kg ";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $6.415,50 ";" $6.415,50 ";" $5.346,25 ";" $5.346,25 ";" $4.277,00 ";" $4.277,00 ";;
"SLTS25";"Sésamo x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $143.115,00 ";" $5.724,60 ";" $119.262,50 ";" $4.770,50 ";" $95.410,00 ";" $3.816,40 ";;
"SLTQ1";"Quinoa x 1 kg ";"S A L V E   L A   T I E R R A  ";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"SLTQ25";"Quinoa x 25 kg ";"S A L V E   L A   T I E R R A  ";"BOLSÓN";25;25,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CGSAY1";"Arroz yamani x 1 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CGSAY30";"Arroz yamani x 25 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSÓN";25;25,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CGSAYIO7U";"Arroz Yamani Integral Orgánico ""Schatzi"" x 500 Grs.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"UNIDAD";1;0,50;" $5.114,22 ";" $5.114,22 ";" $4.261,85 ";" $4.261,85 ";" $3.409,48 ";" $3.409,48 ";;
"CGSAYIO7C";"Arroz Yamani Integral Orgánico ""Schatzi"" x 500 Grs. CAJA x 20u.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"CAJA";20;10,00;" $98.192,95 ";" $4.909,65 ";" $81.827,46 ";" $4.091,37 ";" $65.461,97 ";" $3.273,10 ";;
"CGSAILF1";"Arroz integral largo fino x 1 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"KG";1;1,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CGSAILF25";"Arroz integral largo fino x 25 Kg.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"BOLSÓN";25;25,00;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
"CGSAILO7U";"Arroz Integral Largo Orgánico ""Schatzi"" x 750 Grs.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"UNIDAD";1;0,75;" $6.606,36 ";" $6.606,36 ";" $5.505,30 ";" $5.505,30 ";" $4.404,24 ";" $4.404,24 ";;
"CGSAILO7C";"Arroz Integral Largo Orgánico ""Schatzi"" x 750 Grs. CAJA x 12u.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"CAJA";12;9,00;" $76.027,34 ";" $6.335,61 ";" $63.356,11 ";" $5.279,68 ";" $50.684,89 ";" $4.223,74 ";;
"CGSABO7U";"Arroz Blanco Orgánico ""Schatzi"" x 750 Grs.";"C E R E A L E S ,  G R A N O S   Y   S E M I L L A S";"UNIDAD";1;0,75;" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";" $-   ";;
